no,world,meaning
207,foolish,"어리석은"
208,foreign,"외국인"
209,forget,"잊다"
210,free,"자유로운"
211,freeze,"얼다"
212,fresh,"신선한"
213,friendship,"우정"
214,frog,"개구리"
215,front,"앞"
216,fry,"튀기다"
217,future,"미래"
218,garden,"정원"
219,gate,"대문"
220,gentle,"온화한"
221,gentleman,"신사"
222,gift,"선물"
223,giraffe,"기린"
224,gold,"금"
225,grade,"학년"
226,grammar,"문법"
227,ground,"땅"
228,guard,"경호원"
229,guest,"손님"
230,guide,"안내, 안내인"
231,habit,"습관"
232,half,"절반"
233,hall,"강당"
234,handle,"다루다"
235,handsome,"잘생긴"
236,happen,"발생하다"
237,hard,"어려운"
238,hardly,"거의 ~않다"
239,hate,"싫어하다"
240,health,"건강"
241,hear,"듣다"
242,heart,"마음"
243,heavy,"무거운"
244,height,"높이"
245,hobby,"취미"
246,hold,"갖고있다"
247,holiday,"휴일"
248,hope,"바라다"
249,however,"아무리~해도, 하지만"
250,huge,"거대한"
251,hunt,"사냥하다"
252,hurt,"다치다"
253,husband,"남편"
254,if,"만약"
255,ill,"병이 난"
256,imagine,"상상하다"
257,impossible,"불가능한"
258,inside,"~의 안에"
259,instead,"~대신에"
260,interesting,"흥미로운"
261,into,"~의 안으로"
262,invite,"초대하다"
263,job,"직업"
264,join,"가입하다"
265,joke,"농담"
266,kill,"죽이다"
267,kiss,"입맞추다"
268,lady,"숙녀"
269,lake,"호수"
270,land,"땅"
271,large,"큰"
272,last,"지난번의"
273,lay,"놓다"
274,lazy,"게으른"
275,lead,"이끌다"
276,leaf,"나뭇잎"
277,learn,"배우다"
278,leave,"떠나다"
279,let,"(~하게) 놓아두다"
280,lie,"거짓말하다"
281,life,"삶, 생활"
282,lift,"들어올리다"
283,light,"빛"
284,line,"선"
285,list,"목록"
286,little,"작은"
287,live,"살다"
288,lock,"잠그다"
289,lose,"잃다"
290,lot,"많음"
291,loud,"소리가 큰"
292,lucky,"행운의"
293,machine,"기계"
294,mail,"우편"
295,main,"중요한"
296,man,"남자"
297,march,"행진"
298,mark,"표시"
299,marry,"결혼하다"
300,math,"수학"
301,mathematics,"수학"
302,matter,"문제"
303,may,"~일지도 모른다"
304,maybe,"아마도"
305,meal,"음식"
306,mean,"의미하다"
307,meat,"고기"
308,medicine,"의료"
309,melt,"녹다"
310,memory,"기억"
311,minus,"빼기"
312,minute,"분"
313,mirror,"거울"
314,miss,"양, ~씨, 미혼 여성"
315,mistake,"실수"
316,mix,"섞다"
317,money,"돈"
318,mountain,"산"
319,move,"움직이다"
320,Mr.,"~씨, 님, 선생"

